true_label,predicted_label,prob_class_0,prob_class_1,prob_class_2,prob_class_3,prob_class_4,prob_class_5,prob_class_6,prob_class_7,correct
2.0,4,-3.7493045,-3.4581833,2.9936445,0.96873075,4.7881093,-3.9761891,-1.3862169,2.0795527,0
3.0,7,-5.34267,-0.700778,-2.1768236,-0.053292044,2.2518685,-2.6612704,0.7072579,7.4003773,0
3.0,7,-5.3083534,-0.7381604,-2.119315,0.0019682571,2.358748,-2.7500207,0.6299403,7.357242,0
3.0,7,-5.5188775,-0.629778,-2.0135157,0.14509118,2.5531917,-2.77192,0.49194175,7.1494884,0
3.0,7,-5.771792,-0.47100562,-1.9680108,0.28403127,2.6395488,-2.7301166,0.4442904,6.918576,0
3.0,7,-5.6875257,-0.49079928,-2.0923185,0.14909816,2.385151,-2.6650667,0.6633968,7.0666037,0
3.0,7,-5.3432503,-0.72515464,-2.1122253,-0.012954906,2.2521183,-2.705043,0.7049291,7.3899984,0
3.0,4,-1.0778893,2.5470498,-3.8109648,-2.6146605,7.5448155,-0.28613332,-1.2839345,-0.5206239,0
3.0,4,-1.0643095,2.641944,-3.7885215,-2.5895793,7.4874616,-0.36658108,-1.3259982,-0.55964977,0
3.0,4,-1.2286693,2.3957133,-3.8162217,-2.631119,7.659967,-0.15275848,-1.2512022,-0.37694126,0
3.0,4,-1.1722866,2.4686675,-3.826603,-2.5775347,7.599433,-0.16061258,-1.3087448,-0.45194727,0
3.0,4,-1.0879475,2.5812702,-3.800087,-2.5970044,7.5241976,-0.30068538,-1.3128802,-0.5289958,0
3.0,4,-1.1836501,2.4697146,-3.8131788,-2.6454039,7.6232996,-0.22225142,-1.2371961,-0.44147813,0
1.0,1,-2.2468457,8.203196,-1.6143563,-1.5396701,-0.28822467,-2.996867,-0.91769236,-1.5621965,1
1.0,1,-2.2450302,8.1929035,-2.7504504,-1.3946022,-0.4592618,-2.6274154,-0.86174613,-0.87307096,1
1.0,1,-2.0252922,8.250924,-3.3868833,-1.0504062,-0.7365942,-2.7934127,-0.80589986,-0.46662152,1
1.0,1,-2.0693896,8.239779,-2.660792,-1.1066799,-0.4962342,-2.8967736,-0.911231,-1.0602386,1
1.0,1,-2.2824335,8.144768,-2.778512,-1.2872033,-0.4679054,-2.7632012,-0.76636875,-0.8652062,1
1.0,1,-2.3106434,8.133863,-1.3234456,-1.5459985,-0.22082627,-3.0345764,-0.94341344,-1.6878302,1
5.0,5,-1.935186,-1.5557451,-1.737745,-1.3996291,-1.833877,9.71771,0.32027203,-0.7020852,1
5.0,5,-2.0083904,-1.5113991,-1.671093,-1.3944763,-1.8901889,9.693319,0.33589745,-0.7018358,1
5.0,5,-2.0618825,-1.4817694,-1.6958531,-1.3935753,-1.8907454,9.6708145,0.38300914,-0.7015916,1
5.0,5,-2.0113058,-1.5816175,-1.6538459,-1.3838468,-1.8502458,9.701203,0.28228152,-0.64960474,1
5.0,5,-1.9858707,-1.5555547,-1.6787853,-1.3919121,-1.8598076,9.704895,0.30432683,-0.67806613,1
5.0,5,-1.9824501,-1.5105765,-1.7636132,-1.4013087,-1.8510534,9.695807,0.39485866,-0.72388583,1
7.0,3,-3.0518837,-0.41478032,1.6832411,6.3117003,-1.1274999,-3.2476783,1.3889152,-0.7086096,0
7.0,3,-2.9004085,-0.46749422,1.7845775,6.2877297,-1.8210162,-3.2293007,1.7325637,-0.65770674,0
7.0,3,-3.0233073,-0.5352311,2.0640051,6.5122876,-1.992844,-3.2401452,1.3748063,-0.39215326,0
7.0,3,-3.0799904,-0.49877876,1.9164137,6.442506,-1.570797,-3.274595,1.3275747,-0.4298188,0
7.0,3,-3.089599,-0.5056944,1.9635724,6.4793596,-1.6397941,-3.2536955,1.2850193,-0.40996575,0
7.0,3,-3.2132454,-0.43819863,1.7650014,6.479499,-0.8316002,-3.2715633,0.9742432,-0.5534589,0
4.0,4,-1.7350154,-0.1425873,2.332064,-3.4216464,7.5131617,-1.9722112,-2.214608,-1.6372973,1
4.0,4,-1.8569764,-0.069779605,2.232257,-3.3707464,7.6118846,-1.9586293,-2.1774747,-1.6704564,1
4.0,4,-1.8066236,0.14517523,3.1312866,-2.9253757,7.0849676,-3.7571006,-1.4187207,-1.8617545,1
4.0,4,-1.6552858,0.12682346,3.8176162,-2.733384,6.476911,-4.542571,-1.0773671,-1.9193368,1
4.0,4,-1.690989,0.001192525,3.1050375,-3.078944,7.1129484,-3.3813636,-1.6388909,-1.8345902,1
4.0,4,-1.6475711,-0.10856359,2.7653801,-3.2811344,7.2921686,-2.664804,-1.9643325,-1.7367074,1
7.0,7,-2.7907534,-2.2817843,-2.7874918,-0.66443545,-2.1790583,0.3998579,4.064944,7.1640053,1
7.0,7,-2.7822065,-2.2838414,-2.7865794,-0.66629595,-2.1820784,0.39885765,4.053025,7.175365,1
7.0,7,-2.7751963,-2.2808857,-2.7924018,-0.66643006,-2.1849942,0.40186864,4.044906,7.179855,1
7.0,7,-2.7730572,-2.282116,-2.7912982,-0.66717416,-2.1857984,0.40142882,4.0417824,7.183357,1
7.0,7,-2.7770624,-2.2812748,-2.7907116,-0.66710436,-2.1832647,0.40007323,4.0461764,7.179411,1
7.0,7,-2.7885978,-2.2799873,-2.7898695,-0.6649558,-2.1789076,0.39996532,4.0620613,7.1652327,1
3.0,5,-3.1343381,1.657338,-4.3413506,0.84003,-1.6759552,6.54381,-2.5827396,3.0007293,0
3.0,5,-2.790263,1.7135978,-3.9655087,0.38820082,-2.282048,5.542446,-1.9563322,3.6933541,0
3.0,5,-2.9921243,1.5366995,-4.0415154,0.61231005,-1.9555547,6.2350407,-2.3975933,3.452729,0
3.0,5,-3.009167,1.6222117,-4.14384,0.6664852,-1.9261801,6.120643,-2.3674388,3.3886468,0
3.0,5,-2.9596698,1.622172,-4.334137,0.87287486,-1.6498653,6.1399436,-2.5888848,3.128616,0
3.0,5,-3.152624,1.6632894,-4.3500795,0.84350634,-1.6551085,6.5932083,-2.590001,2.953014,0
1.0,3,-2.7007618,2.640525,-0.5375673,7.6621885,-0.67693794,-1.1824825,-2.9229927,-3.967104,0
1.0,3,-2.5603058,2.8059587,-0.6885522,7.713726,-1.1908567,-0.9367897,-2.7499638,-4.0444417,0
1.0,3,-2.804562,2.9027793,0.22789964,7.3209553,-0.9877529,-1.1356117,-2.4810922,-4.4629607,0
1.0,3,-2.9154687,2.9711654,0.6354894,7.118787,-1.0085704,-1.155908,-2.2642417,-4.674189,0
1.0,3,-2.797785,2.71753,0.02810926,7.4570346,-0.78949046,-1.1732608,-2.6755784,-4.260216,0
1.0,3,-2.7847362,2.5991566,-0.2616072,7.5686436,-0.6038276,-1.2388006,-2.8783927,-4.01807,0
3.0,3,-0.7941676,-2.8530638,0.85428333,8.87887,-2.674105,0.60786223,-1.9462348,-2.6751888,1
3.0,3,-0.7771265,-2.7652233,0.76753116,8.9059,-2.669336,0.58704406,-1.9734635,-2.706172,1
3.0,3,-0.7571125,-2.715094,0.68309504,8.858145,-2.711322,0.84100163,-2.2423708,-2.573449,1
3.0,3,-0.66549665,-2.7885497,0.7883715,8.827277,-2.7783215,0.86202234,-2.2393312,-2.5673282,1
3.0,3,-0.78189725,-2.8384292,0.80573285,8.853632,-2.6868148,0.7485241,-2.1040077,-2.592627,1
3.0,3,-0.79795974,-2.8770623,0.8683427,8.865547,-2.675429,0.64592636,-1.9758314,-2.6446753,1
1.0,4,-3.1321046,-2.0724006,2.4967458,-2.5271866,7.4865932,-1.7380059,2.0226142,-0.017111078,0
1.0,4,-3.3017716,-1.9170479,2.7993574,-2.5901258,7.2342844,-1.7714309,2.0470467,0.03702127,0
1.0,4,-3.3917475,-2.2618687,3.2442207,-2.497176,6.840891,-1.9421806,2.2503474,0.33318722,0
1.0,4,-2.5554388,-2.2324896,3.0634537,-2.6319647,6.8880463,-2.2545002,2.2449296,0.074744694,0
1.0,4,-3.1011937,-2.148428,2.431182,-2.490284,7.536445,-1.70263,2.024044,-0.03202159,0
1.0,4,-3.1850114,-2.1036355,2.5047193,-2.5037014,7.4938717,-1.6976845,2.0196264,-0.008293107,0
6.0,7,-2.7603374,-2.7831907,0.5931061,-3.770165,1.9451945,-1.6716682,0.24636304,9.159329,0
6.0,7,-2.7018228,-2.7885256,0.575669,-3.7578022,1.8742697,-1.6731309,0.25728935,9.18044,0
6.0,7,-2.7259967,-2.7563195,0.52001566,-3.7677088,1.9303905,-1.638172,0.22478047,9.186254,0
6.0,7,-2.70724,-2.743728,0.4837415,-3.7788737,1.9214721,-1.5947095,0.21741246,9.199751,0
6.0,7,-2.7208478,-2.7711098,0.5479995,-3.7636194,1.9111286,-1.6557289,0.23911524,9.181541,0
6.0,7,-2.7620208,-2.7805853,0.58610487,-3.7746787,1.9520732,-1.660587,0.24630807,9.158742,0
4.0,1,-2.0592084,4.6851664,-0.20525375,-4.0953608,0.46167225,-2.3350804,4.66095,-1.9981438,0
4.0,1,-1.8811085,4.447079,0.7654909,-3.995832,0.91755915,-2.7772107,3.4950833,-2.247931,0
4.0,1,-1.1863755,5.731359,-0.22650129,-3.8082519,-0.44180402,-2.5071454,3.9644177,-2.4554114,0
4.0,1,-1.4954044,5.883271,0.39149332,-3.8346972,-0.20924248,-2.506616,3.2994463,-2.5417697,0
4.0,1,-2.091555,5.3971763,0.93244904,-3.8957708,0.5207201,-2.5602713,3.0407782,-2.454749,0
4.0,1,-2.0224185,5.135955,-0.4696997,-4.053971,-0.11684796,-2.0106134,4.899916,-1.9525381,0
5.0,5,-0.65300834,-2.2534583,-2.6840322,0.7218715,-3.4780173,8.378954,3.2038386,-1.1219697,1
5.0,5,-0.5890934,-2.2259126,-2.6123104,0.68760574,-3.7358315,8.2146225,3.3599622,-0.97208834,1
5.0,5,-0.19368125,-2.2918868,-2.7465715,0.571161,-3.8242197,8.293515,3.0088446,-0.59399855,1
5.0,5,-0.6109223,-2.298832,-2.6603067,0.63233554,-3.5401156,8.344727,3.2694383,-0.99157226,1
5.0,5,-0.57211185,-2.39889,-2.6446197,0.47255713,-3.516785,8.378111,3.2888467,-0.80277526,1
5.0,5,-0.6855789,-2.2645605,-2.6320007,0.6849733,-3.5553036,8.304391,3.3370137,-1.0689805,1
6.0,1,-2.5044093,5.6597295,-0.19477785,-0.13998425,-2.0770638,-2.3959372,4.3336744,-3.8596597,0
6.0,1,-2.5515926,5.6720657,-0.09827616,-0.14731488,-2.0646548,-2.3827891,4.2723885,-3.9273403,0
6.0,1,-2.4360635,5.6021323,-0.2648617,-0.18152836,-2.0726829,-2.4084482,4.4073286,-3.7620773,0
6.0,1,-2.4223335,5.7528157,0.100367405,-1.032629,-1.8802241,-2.6134076,4.350423,-3.1299052,0
6.0,1,-2.5241597,5.7822742,0.15874344,-0.68995285,-1.9146993,-2.6030068,4.234212,-3.49847,0
6.0,1,-2.4863863,5.701,-0.029880874,-0.39921638,-1.9837457,-2.603479,4.337237,-3.6346462,0
6.0,2,2.0044856,-4.3505554,4.382825,-0.90888923,2.3356621,-1.3246615,-0.15902819,-1.7890035,0
6.0,2,1.4039053,-4.802847,3.5335526,-0.45529386,3.2235017,-0.527099,-0.8079464,-0.8598335,0
6.0,4,-0.31460112,-5.3127494,1.4854014,1.8370776,4.4688735,1.2017137,-1.8730844,0.47786132,0
6.0,4,0.34029254,-5.1176825,2.7419538,0.01596218,3.9421227,0.42322838,-1.6828697,1.0427682,0
6.0,4,1.7775141,-5.366091,2.8126674,-0.269996,2.886171,0.78808457,-1.8077275,0.1294467,0
6.0,2,2.2231908,-4.7146564,4.1502123,-0.9203634,2.2163298,-0.86934507,-0.59451115,-1.2527224,0
6.0,2,-1.2682368,-3.552235,6.436776,5.353089,-1.1841055,-3.265541,-0.9583108,-1.927864,0
6.0,2,-1.2649927,-3.5620797,6.457569,5.3622656,-1.2039367,-3.2502615,-0.9535918,-1.9510332,0
6.0,2,-1.266512,-3.8846056,6.9386992,4.585182,-1.0495533,-3.340266,-0.9686546,-1.2746236,0
6.0,2,-1.2680147,-3.7592432,6.7262344,4.9764752,-1.1269878,-3.2834537,-0.94702107,-1.6109737,0
6.0,2,-1.2631387,-3.6239836,6.520977,5.2871284,-1.1971418,-3.2484481,-0.9441708,-1.8745447,0
6.0,2,-1.2678422,-3.5784862,6.465727,5.3161616,-1.1799372,-3.2657368,-0.9556872,-1.891839,0
0.0,0,7.682448,-2.1142857,-1.3002608,-1.6232494,3.0038798,-4.784805,-1.0971143,0.025323994,1
0.0,0,7.460942,-2.3487465,-0.80325556,-1.3112212,2.8793995,-5.082686,-0.9620274,-0.07947276,1
0.0,0,7.5928364,-1.9143407,-0.93213,-1.5389923,2.9132938,-5.1924424,-0.6904153,-0.4568693,1
0.0,0,7.103776,-1.8311099,-0.7013007,-1.6068118,3.15333,-5.642517,-0.17200638,-0.48507464,1
0.0,0,7.4789243,-2.204648,-0.8996108,-1.5111258,2.9490452,-5.1259556,-0.8347673,-0.057958588,1
0.0,0,7.626686,-2.1697853,-1.2816191,-1.6590501,3.0834873,-4.8101444,-0.9976035,0.044715326,1
6.0,2,-0.877323,-2.3679655,7.3647776,3.6057522,-1.9993011,-3.7608647,0.8801964,-2.3870971,0
6.0,2,-0.8593192,-2.409611,7.405469,3.584678,-2.0229883,-3.7409406,0.88517284,-2.3675117,0
6.0,2,-0.6687182,-2.6246028,7.7596707,2.832049,-1.842475,-3.7302403,0.7376581,-1.8413942,0
6.0,2,-0.7274921,-2.5656562,7.684889,2.9820552,-1.8578814,-3.7393363,0.7757185,-1.9506253,0
6.0,2,-0.8124037,-2.475466,7.4931045,3.4128594,-1.9806877,-3.743671,0.8531774,-2.2412403,0
6.0,2,-0.86968607,-2.380454,7.377763,3.5871224,-1.9981772,-3.7598927,0.87735415,-2.3721108,0
1.0,0,6.46401,0.9454067,0.3936324,-3.1131456,-4.456114,-2.0729432,1.5287033,0.30900577,0
1.0,0,6.901099,0.26614466,1.8532368,-2.6951041,-4.49426,-2.1694326,-0.04965978,0.16577612,0
1.0,0,6.9471493,-0.47011092,2.3961813,-2.2425597,-4.646323,-2.4393294,-0.37412602,1.2012542,0
1.0,0,7.108755,-0.5640248,1.5151186,-2.1066585,-4.5507116,-2.3198905,0.36656183,1.2792926,0
1.0,0,6.730401,0.18998131,1.0496964,-2.7350998,-4.6100326,-2.2712998,0.7808985,1.1913903,0
1.0,0,6.5012755,0.94863284,0.37278768,-3.097112,-4.4304023,-2.1038754,1.6240717,0.18332148,0
3.0,3,-5.5418735,-1.6555268,-2.0984173,4.6733403,2.4891226,-2.449722,3.0754323,2.007733,1
3.0,3,-5.4886284,-1.6589347,-2.0396018,4.7407427,2.3236935,-2.5224664,3.1917684,1.9375935,1
3.0,3,-5.4772778,-1.6498531,-2.0700552,4.7812862,2.3389063,-2.4646988,3.1607563,1.8971293,1
3.0,3,-5.475957,-1.6460458,-2.1224473,4.7936306,2.43844,-2.3994386,3.07642,1.8958697,1
3.0,3,-5.4957047,-1.646062,-2.0891206,4.757613,2.3943255,-2.451018,3.1256058,1.9183037,1
3.0,3,-5.5361395,-1.6570585,-2.1178584,4.6761703,2.5379043,-2.4342558,3.0408142,2.010957,1
6.0,6,-0.15849112,-0.8869791,-3.3741226,-4.182869,1.1309925,-0.07600851,8.476244,0.02943569,1
6.0,6,0.2034969,-0.83512306,-3.4935718,-4.232367,1.5897781,-0.3641181,8.256109,-0.1483264,1
6.0,6,0.029843615,-0.9360262,-3.5112236,-4.215809,1.4583942,-0.10827868,8.314364,-0.06715458,1
6.0,6,-0.1502022,-0.7762015,-3.3192112,-4.192525,1.3171595,-0.40493393,8.431857,0.033223856,1
6.0,6,0.30055916,-0.94473326,-3.6160135,-4.2410655,1.6595652,-0.14654876,8.182389,-0.20473307,1
6.0,6,-0.085955225,-0.91664934,-3.4387794,-4.200131,1.247552,-0.05880333,8.413254,0.0019486137,1
1.0,4,-0.26854244,4.6136394,-4.951277,-1.4554359,5.1180735,-1.5094135,2.0819478,-4.23584,0
1.0,4,-0.26852757,4.6136603,-4.951296,-1.455416,5.1180205,-1.509411,2.081965,-4.235846,0
1.0,4,-0.26852298,4.613664,-4.951303,-1.455414,5.118021,-1.5094099,2.0819592,-4.2358446,0
1.0,4,-0.26852638,4.6136546,-4.951297,-1.45542,5.1180367,-1.5094099,2.0819561,-4.235842,0
1.0,4,-0.2685294,4.6136594,-4.951295,-1.455418,5.118021,-1.5094111,2.0819654,-4.2358465,0
1.0,4,-0.26854065,4.613641,-4.9512777,-1.4554361,5.118069,-1.5094141,2.0819485,-4.23584,0
3.0,6,0.32592025,-2.3074875,1.900466,4.7158327,-3.7066157,-2.0497413,5.0593305,-3.3980079,0
3.0,3,0.5416462,-2.3065217,1.8354731,5.1079082,-3.8688724,-2.1114752,4.610194,-3.3721855,1
3.0,3,0.8013495,-2.4109483,1.7171928,5.532458,-4.0526094,-2.063946,3.9826622,-3.2705095,1
3.0,6,0.612603,-1.6101847,1.1374868,4.7651505,-3.9787967,-2.0039847,5.300898,-3.558508,0
3.0,3,0.51000434,-2.3735027,1.8074404,4.9468417,-3.8226738,-1.9679495,4.8290358,-3.4382253,1
3.0,6,0.39690962,-2.2137113,1.7431113,4.761131,-3.7720244,-1.9992709,5.0677366,-3.4440715,0
1.0,0,7.3724627,-0.76791775,-4.7583704,1.7540103,-2.0181713,1.6838888,-3.1186252,-1.3700465,0
1.0,0,5.401777,-1.4614072,-4.954997,0.8234966,-0.6657492,2.1206677,-5.0285473,2.673649,0
1.0,0,6.840604,-0.84594834,-4.772807,1.4851159,-1.5979447,1.1667044,-3.9771981,0.30717957,0
1.0,0,6.493001,-0.3527794,-4.83336,2.4885776,-2.2890122,0.6837029,-2.975628,-0.8893788,0
1.0,0,6.665288,-1.5356743,-4.921664,0.25972292,-0.7904675,1.6462127,-4.3988047,2.0700374,0
1.0,0,8.049643,-0.8715751,-4.4764194,1.55677,-2.0350237,1.137574,-2.558669,-1.9184737,0
6.0,6,-2.5495827,-0.9920417,-1.9579765,-4.2549033,5.632705,-1.7478786,5.6498036,0.16491386,1
6.0,4,-0.3438439,-2.651226,-0.8463398,-3.780409,7.9676647,-2.5421724,1.7691873,0.39562935,0
6.0,4,-0.0939565,-3.7361357,0.79815704,-3.7037778,6.793473,-3.6547592,1.7193135,2.0366862,0
6.0,4,-1.0349624,-4.453622,2.2611098,-3.4145534,5.1250606,-4.2349844,2.0609374,4.1599627,0
6.0,4,-1.5283624,-2.7831502,0.2531545,-3.951169,6.719195,-3.1508417,3.278725,1.2627925,0
6.0,6,-2.4055877,-0.8947569,-1.9972435,-4.249202,5.43537,-1.8184608,5.872693,0.03263477,1
1.0,4,3.2979364,-2.0878093,-3.4042125,-3.1231847,7.6358852,0.028092742,-1.8606523,-0.5334855,0
1.0,4,4.724842,-2.2850425,-3.2549841,-2.6390996,6.605344,0.58747715,-2.5549836,-1.0672601,0
1.0,4,3.8461318,-1.6452526,-1.9172992,-2.9945233,6.5004115,0.069913276,-0.44601762,-3.0099986,0
1.0,4,2.3028107,-1.0701027,-1.2352377,-3.6525745,6.5410194,-0.59494543,1.2040725,-3.1711426,0
1.0,4,3.446266,-1.967688,-2.7797616,-2.935496,7.3929167,-0.14139506,-1.2357348,-1.5943314,0
1.0,4,2.7831876,-2.0097744,-3.1859114,-3.2082336,7.92325,-0.3264466,-1.4494766,-0.6245963,0
2.0,6,-2.6248255,-3.2661033,4.5202312,0.45038548,-1.3022099,-2.7102463,6.4630065,-1.7279296,0
2.0,6,-2.473347,-3.3306255,4.1712184,0.54299736,-1.3557708,-2.896604,6.6187034,-1.5323354,0
2.0,6,-2.4445307,-3.3250518,3.9813013,0.6359304,-1.3695871,-3.002875,6.693743,-1.4301478,0
2.0,6,-2.3887897,-3.2487743,3.9116738,0.68261474,-1.3310025,-3.0646758,6.7278028,-1.4674407,0
2.0,6,-2.3486855,-3.2985349,4.046045,0.60028034,-1.3527609,-2.9935791,6.6763244,-1.5427451,0
2.0,6,-2.5632648,-3.2912266,4.4544683,0.4626344,-1.3128433,-2.7556312,6.4977245,-1.6990492,0
2.0,5,0.9910674,-1.9423405,0.02662345,0.55435234,0.649395,2.358142,-0.059782676,-0.9538934,0
2.0,5,1.2243927,-2.147022,0.36385968,0.19246426,-0.38970152,3.3273594,0.6200718,-1.2215679,0
2.0,5,1.4025656,-1.7605845,0.26568106,0.22361311,-0.848899,3.6601677,0.26172444,-1.011262,0
2.0,5,1.4936274,-2.2637925,0.37061977,0.21817297,-0.87823784,4.173922,0.6192449,-1.1583124,0
2.0,5,1.315657,-2.0473244,0.37408304,0.19546321,-0.5839462,3.4425907,0.54868424,-1.1945779,0
2.0,5,1.036618,-1.8613328,-0.07608124,0.6903078,0.74886787,2.3303268,-0.2920456,-0.8649642,0
1.0,1,-2.7652555,6.87697,4.847782,-2.1602159,-0.9747007,-3.0405352,-0.017652467,-4.102866,1
1.0,1,-2.8236492,7.056001,4.5716763,-2.1669202,-0.9607432,-2.9725149,0.027469441,-4.10907,1
1.0,1,-2.8108487,7.3537626,4.103292,-2.397589,-1.0822024,-2.8957448,0.33279723,-3.9593687,1
1.0,1,-2.6809926,7.369458,4.0813594,-2.7332826,-1.1345152,-2.8905337,0.48904097,-3.7480395,1
1.0,1,-2.770036,7.140734,4.442501,-2.389223,-1.0681381,-2.953664,0.2701406,-3.9782758,1
1.0,1,-2.7382028,6.867371,4.8633485,-2.2283092,-1.0134538,-3.0468674,0.05467789,-4.0630817,1
4.0,3,3.708824,0.021493375,-1.1551716,6.6898932,-0.62704766,-3.8794243,-0.031613827,-5.682811,0
4.0,3,3.2115865,0.19483888,-1.1234335,7.264821,-0.9019859,-3.4479492,-0.9035772,-5.4668193,0
4.0,3,3.2071218,0.15373471,-0.9234085,7.282084,-1.0658394,-3.3617623,-0.9406788,-5.5647287,0
4.0,3,2.4996629,0.6782118,-0.71742237,7.3346443,-1.4226938,-3.5669918,-0.43854487,-5.6026244,0
4.0,3,3.2303233,0.23309112,-1.1684773,7.1874332,-0.85825896,-3.5798705,-0.72069705,-5.45906,0
4.0,3,3.7512045,0.0025908798,-0.98686147,6.536793,-0.7130302,-4.0045433,0.29936284,-5.81163,0
6.0,6,2.581119,-6.221468,1.0014911,2.8544352,-2.656257,-3.0328977,3.7216268,1.9611398,1
6.0,3,2.576879,-6.0785,1.1474097,4.0347595,-3.0827103,-2.9879076,3.0598512,1.36194,0
6.0,3,2.6882272,-6.293298,1.1461396,3.3672707,-2.8652394,-2.9917693,3.107152,2.1218038,0
6.0,6,2.6565418,-6.407506,1.1808711,2.9075685,-2.7027354,-3.0067542,3.184924,2.5881972,1
6.0,6,2.599063,-6.3167124,1.14087,3.0406747,-2.7468355,-3.0235586,3.3756208,2.2176406,1
6.0,6,2.6919475,-6.215444,0.949922,2.8462796,-2.6605601,-3.0031767,3.7686539,1.8833947,1
5.0,3,-3.9444091,0.475015,-2.2911644,6.143776,-1.1582344,2.3217041,-0.27410764,-1.427405,0
5.0,3,-3.7639806,0.2992757,-2.5233443,6.218137,-1.6463615,2.872523,-0.13220443,-1.3143779,0
5.0,3,-3.6892333,1.5080566,-2.5877526,5.555265,-1.1913605,2.5554085,-0.4367414,-1.6582631,0
5.0,3,-3.710958,1.6410756,-2.4938912,5.4449754,-0.9458438,2.3030045,-0.5130255,-1.69763,0
5.0,3,-3.8234746,0.931087,-2.4656217,5.9093184,-1.2828704,2.5690014,-0.34567195,-1.5383962,0
5.0,3,-3.8918445,0.65928614,-2.3247755,6.1180787,-1.1908002,2.2998374,-0.34218162,-1.4836392,0
6.0,6,1.3711196,-2.5344408,-1.5452074,0.57522297,-2.3741343,-2.9822998,8.028778,0.195333,1
6.0,4,3.16814,-3.670938,-3.846246,-1.917138,3.5900738,-3.2609923,3.3898454,3.4813902,0
6.0,6,2.898711,-3.836805,-2.8780856,-1.044458,1.6651659,-3.6037803,5.30077,2.5966983,1
6.0,6,1.8588779,-3.8288682,-2.68517,-1.754999,1.4413381,-3.4003026,6.07137,3.6162524,1
6.0,6,1.8067983,-3.856458,-2.9022236,-0.9482123,2.0855439,-3.2983425,6.176878,2.2090464,1
6.0,6,1.7807258,-2.7549138,-1.8482217,0.2223657,-2.03247,-2.9892635,7.7386727,0.6107634,1
0.0,6,-1.8515793,-3.4146926,1.6369182,-2.0927596,-2.907268,0.23205504,7.9588947,2.4131134,0
0.0,6,-1.9667358,-3.3587582,1.8602961,-1.6819909,-3.024257,-0.008618072,8.205351,1.8619356,0
0.0,6,-1.6665667,-3.4538207,1.8868588,-1.7075773,-3.0989418,-0.039172936,8.172989,1.8489963,0
0.0,6,-1.8732744,-3.4346972,1.79954,-1.742619,-3.1022964,0.15614179,8.124783,2.0100567,0
0.0,6,-1.6712319,-3.456455,1.8388399,-1.7964954,-3.0641184,0.01475247,8.124001,1.9660633,0
0.0,6,-1.7518233,-3.428275,1.7173206,-2.0203831,-2.9272566,0.11805614,8.018633,2.2510648,0
